1: -39: Binary = 1111011001, Hexadecimal = FFFFFFD9
175: -42: Binary = 1111010110, Hexadecimal = FFFFFFD6
176: -37: Binary = 1111011011, Hexadecimal = FFFFFFDB
177: 31: Binary = 11111, Hexadecimal = 1F
178: -10: Binary = 1111110110, Hexadecimal = FFFFFFF6
179: 18: Binary = 10010, Hexadecimal = 12
180: 33: Binary = 100001, Hexadecimal = 21
181: -15: Binary = 1111110001, Hexadecimal = FFFFFFF1
182: 17: Binary = 10001, Hexadecimal = 11
183: 25: Binary = 11001, Hexadecimal = 19
184: -25: Binary = 1111100111, Hexadecimal = FFFFFFE7
185: -5: Binary = 1111111011, Hexadecimal = FFFFFFFB
186: 33: Binary = 100001, Hexadecimal = 21
187: -13: Binary = 1111110011, Hexadecimal = FFFFFFF3
188: 33: Binary = 100001, Hexadecimal = 21
189: -10: Binary = 1111110110, Hexadecimal = FFFFFFF6
190: 47: Binary = 101111, Hexadecimal = 2F
191: 47: Binary = 101111, Hexadecimal = 2F
192: -13: Binary = 1111110011, Hexadecimal = FFFFFFF3
193: -32: Binary = 1111100000, Hexadecimal = FFFFFFE0
194: 1: Binary = 1, Hexadecimal = 1
195: 1: Binary = 1, Hexadecimal = 1
196: -25: Binary = 1111100111, Hexadecimal = FFFFFFE7
197: -33: Binary = 1111011111, Hexadecimal = FFFFFFDF
198: 16: Binary = 10000, Hexadecimal = 10
199: 17: Binary = 10001, Hexadecimal = 11
200: 4: Binary = 100, Hexadecimal = 4
Execution Time: 0.002337 seconds
